[TEST] 로그 파일: C:\Users\juho.park\rbw\rbw_modbus_test\logs\20250703_1352_08.txt
[TEST] Memory 모드 (채널 11) 용접 + 모니터링
[MON] t=0.0s | TAST=0 | V=0 | I=0
[MON] t=0.0s | TAST=0 | V=0 | I=0
[MON] t=0.1s | TAST=0 | V=0 | I=0
[MON] t=0.1s | TAST=0 | V=0 | I=0
[MON] t=0.1s | TAST=0 | V=0 | I=0
[MON] t=0.2s | TAST=0 | V=0 | I=0
[MON] t=0.2s | TAST=0 | V=0 | I=0
[MON] t=0.2s | TAST=0 | V=0 | I=0
[MON] t=0.3s | TAST=0 | V=3 | I=0
[MON] t=0.3s | TAST=3997 | V=0 | I=0
[MON] t=0.3s | TAST=5654 | V=0 | I=0
[MON] t=0.3s | TAST=6525 | V=0 | I=0
[MON] t=0.4s | TAST=0 | V=0 | I=0
[MON] t=0.4s | TAST=0 | V=0 | I=0
[MON] t=0.4s | TAST=0 | V=0 | I=0
[MON] t=0.5s | TAST=0 | V=0 | I=0
[MON] t=0.5s | TAST=0 | V=0 | I=0
[MON] t=0.5s | TAST=0 | V=362 | I=85
[MON] t=0.6s | TAST=6399 | V=362 | I=85
[MON] t=0.6s | TAST=5345 | V=362 | I=85
[MON] t=0.6s | TAST=3673 | V=377 | I=72
[MON] t=0.7s | TAST=3079 | V=377 | I=72
[MON] t=0.7s | TAST=1974 | V=377 | I=72
[MON] t=0.7s | TAST=1331 | V=377 | I=72
[MON] t=0.8s | TAST=1083 | V=377 | I=72
[MON] t=0.8s | TAST=988 | V=377 | I=72
[MON] t=0.8s | TAST=951 | V=377 | I=72
[MON] t=0.9s | TAST=936 | V=377 | I=72
[MON] t=0.9s | TAST=1598 | V=219 | I=37
[MON] t=0.9s | TAST=2019 | V=219 | I=37
[MON] t=1.0s | TAST=2633 | V=219 | I=37
[MON] t=1.0s | TAST=3478 | V=219 | I=37
[MON] t=1.0s | TAST=3934 | V=219 | I=37
[MON] t=1.1s | TAST=5193 | V=219 | I=37
[MON] t=1.1s | TAST=4913 | V=186 | I=54
[MON] t=1.1s | TAST=2047 | V=186 | I=54
[MON] t=1.2s | TAST=1242 | V=186 | I=54
[MON] t=1.2s | TAST=1094 | V=186 | I=54
[MON] t=1.2s | TAST=992 | V=186 | I=54
[MON] t=1.3s | TAST=950 | V=186 | I=54
[MON] t=1.3s | TAST=1238 | V=186 | I=54
[MON] t=1.3s | TAST=1472 | V=186 | I=54
[MON] t=1.4s | TAST=1577 | V=186 | I=54
[MON] t=1.4s | TAST=1603 | V=259 | I=46
[MON] t=1.4s | TAST=1612 | V=259 | I=46
[MON] t=1.5s | TAST=1616 | V=259 | I=46
[MON] t=1.5s | TAST=1456 | V=259 | I=46
[MON] t=1.5s | TAST=1132 | V=259 | I=46
[MON] t=1.6s | TAST=1006 | V=259 | I=46
[MON] t=1.6s | TAST=950 | V=259 | I=46
